,Medal,Beer Name,Brewery,City,State,County,Category,Year
4267,Bronze,Spring Saison,Engine House #9 Restaurant & Brewery  ,Tacoma,WA,Pierce,Belgian- & French-Style Ale,2002
4268,Gold,Double 02 Bear,Big Bear Brewing Co.,Coral Springs,FL,Broward,Belgian-Style Abbey Ale,2002
4269,Silver,Daisy Chain,Chicago Brewing Co.,Las Vegas,NV,Clark,Belgian-Style Abbey Ale,2002
4270,Bronze,Tripel,Iron Hill Brewery & Restaurant,West Chester,PA,Chester,Belgian-Style Abbey Ale,2002
4271,Gold,La Folie,New Belgium Brewing Co.,Fort Collins,CO,Larimer,Belgian-Style Sour Ale,2002
4272,Silver,Lip Burner Lamb-Beak,Bitter End Bistro & Brewery  ,Austin,TX,Travis,Belgian-Style Sour Ale,2002
4273,Bronze,Flanders Red Ale,Southampton Publick House  ,Southampton,NY,Suffolk,Belgian-Style Sour Ale,2002
4274,Gold,Temptation,Russian River Brewing Co.,Guerneville,CA,Sonoma,Belgian-Style Strong Specialty Ales,2002
4275,Silver,Millenium Grand Cru,BJ's Restaurant & Brewery ,Portland,OR,Multnomah,Belgian-Style Strong Specialty Ales,2002
4276,Bronze,Trouble,Rock Bottom Breweries ,Bethesda,MD,Montgomery,Belgian-Style Strong Specialty Ales,2002
4277,Gold,Full Suspension Pale Ale,Utah Brewers Cooperative,Salt Lake City,UT,Salt Lake,Bitter,2002
4278,Silver,8th Street Ale,Four Peaks Brewing Co.,Tempe,AZ,Maricopa,Bitter,2002
4279,Bronze,Blue Heron Pale Ale,BridgePort Brewing Co. ,Portland,OR,Multnomah,Bitter,2002
4280,Gold,Saxer Bock,Portland Brewing Co.,Portland,OR,Multnomah,Bock,2002
4281,Silver,Get Off My Bock,Blue Corn Café & Brewery ,Albuquerque,NM,Bernalillo,Bock,2002
4282,Bronze,Mactavish's Excellent Barvarian Adventure,Sandlot Brewery at Coors Field,Denver,CO,Denver,Bock,2002
4283,Gold,Cleveland Chophouse Bohemian Pilsener,ChopHouse and Brewery-Cleveland,Cleveland,OH,Cuyahoga,Bohemian Style Pilsener ,2002
4284,Silver,Barmen Pilsener,Sandlot Brewery at Coors Field,Denver,CO,Denver,Bohemian Style Pilsener ,2002
4285,Bronze,BoHo Pilsner,Nodding Heading Brewing Co.,Philadelphia,PA,Philadelphia,Bohemian Style Pilsener ,2002
4286,Gold,Sweetwater Exodus Porter,Sweetwater Brewing Co.,Atlanta,GA,Fulton,Brown Porter,2002
4287,Silver,Pioneer Porter,Fredericksburg Brewing Co.,Fredericksburg,TX,Gillespie,Brown Porter,2002
4288,Bronze,Black Butte Porter,Deschutes Brewery ,Bend,OR,Deschutes,Brown Porter,2002
4289,Gold,Annadel Pale Ale,Third Street AleWorks,Santa Rosa,CA,Sonoma,Classic English Style Pale Ale ,2002
4290,Silver,Urban Wilderness,Sleeping Lady Brewing Co/Snow Goose Restaurant,Anchorage,AK,Anchorage,Classic English Style Pale Ale ,2002
4291,Bronze,Denver Pale Ale,Great Divide Brewing Co.,Denver,CO,Denver,Classic English Style Pale Ale ,2002
4292,Gold,Blarney Sister's Dry Irish Stout,Third Street AleWorks,Santa Rosa,CA,Sonoma,Classic Irish-Style Dry Stout ,2002
4293,Silver,McDoogin's Irish Stout,Thirsty Dog Grille and Brewery ,Akron/Canton,OH,NOT KNOWN,Classic Irish-Style Dry Stout ,2002
4294,Bronze,Lord Stanley,Steelhead Brewing Co.,Irvine,CA,Orange,Classic Irish-Style Dry Stout ,2002
4295,Gold,Maxwell's Dry Stout,Basil Ts Brewpub & Italian Grill  ,Red Bank,NJ,Monmouth,Coffee Flavored Beer,2002
4296,Silver,Cambridge Espresso Stout,John Harvard’s Brew House,Cambridge,MA,Middlesex,Coffee Flavored Beer,2002
4297,Bronze,Jamaican Blue Porter,Big Rock Chop & Brew House ,Birmingham,MI,Oakland,Coffee Flavored Beer,2002
4298,Gold,Grog,Nodding Heading Brewing Co.,Philadelphia,PA,Philadelphia,English-Style Brown Ale,2002
4299,Silver,Old Elk Brown Ale,Walnut Brewery ,Boulder,CO,Boulder,English-Style Brown Ale,2002
4300,Bronze,Buster Nut Brown,Ska Brewing Co.,Durango,CO,La Plata,English-Style Brown Ale,2002
4301,Gold,IPA,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,English-Style India Pale Ale,2002
4302,Silver,SLO Progress,SLO Brewing Co.,San Luis Obispo,CA,San Luis Obispo,English-Style India Pale Ale,2002
4303,Bronze,Newcomb's IPA,McCoys Public House & BrewKitchen ,Kansas City,MO,Jackson,English-Style India Pale Ale,2002
4304,Gold,Voodoo's Child,Red Star Brewery & Grille  ,Greensburg,PA,Westmoreland,European-Style Dark / Munchner Dunkel,2002
4305,Silver,Dunkel,Moosejaw Pizza and Brewing  ,Wisconsin Dells,WI,Columbia,European-Style Dark / Munchner Dunkel,2002
4306,Bronze,Obscura,Mammoth Brewing,Mammoth Lakes,CA,Mono,European-Style Dark / Munchner Dunkel,2002
4307,Gold,Tenaya Creek Pilsner,Tenaya Creek  ,Las Vegas,NV,Clark,European-Style Pilsener,2002
4308,Silver,Hermanbraü,Sandlot Brewery at Coors Field,Denver,CO,Denver,European-Style Pilsener,2002
4309,Bronze,Henry Weinhard's Private Reserve,Henry Weinhard's Brewing ,Milwaukee,WI,Milwaukee,European-Style Pilsener,2002
4310,Gold,Berliner Weisse,Southampton Publick House  ,Southampton,NY,Suffolk,Experimental Beer,2002
4311,Silver,Juniper Rye,BJ's Restaurant & Brewery  ,Chandler,AZ,Maricopa,Experimental Beer,2002
4312,Bronze,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Green,Experimental Beer,2002
4313,Gold,Black Hole XXX Stout,Chelsea Brewing Co.,New York,NY,New York,Foreign Style Stout ,2002
4314,Silver,Zonker Stout,Snake River Brewing Co.,Jackson,WY,Teton,Foreign Style Stout ,2002
4315,Bronze,Gaston's Swollen Delta Stout,Redfish New Orleans Brewhouse  ,Boulder,CO,Boulder,Foreign Style Stout ,2002
4316,Gold,Magnolia's Peach,BJ's Restaurant & Brewery ,Boulder,CO,Boulder,Fruit And Vegetable Beer,2002
4317,Silver,Belgian Red,New Glarus Brewing Co.,New Glarus,WI,Green,Fruit And Vegetable Beer,2002
4318,Bronze,Little Pookie's Old Ale,Steelhead Brewing Co.,Eugene,OR,Lane,Fruit And Vegetable Beer,2002
4319,Gold,Widmer Alt,Widmer Brothers Brewing Co.,Portland,OR,Multnomah,German-Style Brown Ale,2002
4320,Silver,Old Town Brown,Chicago Brewing Co.,Las Vegas,NV,Clark,German-Style Brown Ale,2002
4321,Bronze,Southampton Secret Ale,Southampton Publick House  ,Southampton,NY,Suffolk,German-Style Brown Ale,2002
4322,Gold,Samuel Adams Double Bock,Samuel Adams Brewing Co. ,Boston,MA,Suffolk,German-Style Doppelbock,2002
4323,Silver,Liberator Doppelbock,Angelic Brewing Co.,Madison,WI,Dane,German-Style Doppelbock,2002
4324,Bronze,Broken Keg Icebock,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,German-Style Doppelbock,2002
4325,Gold,Capitol Kolsch,Capitol City Brewing Co.,Washington,DC,District of Columbia,German-Style Kolsch / Koln-Style Kolsch,2002
4326,Silver,# 10 Kolsch,Wolf Pack Brewing Co. ,West Yellowstone,MT,Gallatin,German-Style Kolsch / Koln-Style Kolsch,2002
4327,Bronze,Golden Arm,Piece Brewery ,Chicago,IL,Cook,German-Style Kolsch / Koln-Style Kolsch,2002
4328,Gold,Octoberfest,Empire Brewing Co.,Rochester,NY,Monroe,German-Style Märzen/Oktoberfest,2002
4329,Silver,Trout Brook Octoberfest Lager,Trout Brook Brewing Co.  ,Hartford,CT,Hartford,German-Style Märzen/Oktoberfest,2002
4330,Bronze,Great Dane Oktoberfest,Great Dane Pub & Brewing Co. (The),Madison,WI,Dane,German-Style Märzen/Oktoberfest,2002
4331,Gold,Hops Pilsener,"Hops Restaurant, Bar and Brewery ",Tampa,FL,Hillsborough,German-Style Pilsener,2002
4332,Silver,Goose Island Pils,Goose Island Beer Co. ,Chicago,IL,Cook,German-Style Pilsener,2002
4333,Gold,Schwarzbier,Empire Brewing Co.,Syracuse,NY,Onondaga,German-Style Schwarzbier,2002
4334,Silver,Black Forest Schwarzbier,Squatters Pub Brewery  ,Salt Lake City,UT,Salt Lake,German-Style Schwarzbier,2002
4335,Bronze,Springfield Schwarzbier,John Harvard’s Brew House,Springfield,PA,NOT KNOWN,German-Style Schwarzbier,2002
4336,Gold,DeGroen's Weizen,Baltimore Brewing Co.,Baltimore,MD,Baltimore (city),German-Style Wheat Ale,2002
4337,Silver,Barley's Boulder Gold Hefeweizen,Barley's Casino & Brewing Co. ,Henderson,NV,Clark,German-Style Wheat Ale,2002
4338,Bronze,Penn Weizen,Pennsylvania Brewing Co.,Pittsburgh,PA,Allegheny,German-Style Wheat Ale,2002
4339,Gold,Goose Island Summertime,Goose Island Beer Co.  ,Chicago,IL,Cook,Golden or Blonde Ale,2002
4340,Silver,Sweetwater 420 Extra Pale Ale,Sweetwater Brewing Co.,Atlanta,GA,Fulton,Golden or Blonde Ale,2002
4341,Bronze,Alaskan Pale,Alaskan Brewing and Bottling Co.,Juneau,AK,Juneau,Golden or Blonde Ale,2002
4342,Gold,Upland Wheat Ale,Upland Brewing Co.,Bloomington,IN,Monroe,Herb and Spice Beer,2002
4343,Silver,Mocha Joe,Sports City Café & Brewery ,La Jolla,CA,San Diego,Herb and Spice Beer,2002
4344,Bronze,Lemongrass Wheat,Outer Banks Brewing Co.  ,Kill Devil Hills,NC,Dare,Herb and Spice Beer,2002
4345,Gold,Old Rasputin,North Coast Brewing Co. Inc,Ft. Bragg,CA,Mendocino,Imperial Stout,2002
4346,Silver,Raven Maniac Stout,Prescott Brewing Co.,Prescott,AZ,Yavapai,Imperial Stout,2002
4347,Bronze,No Disput'n Putin Russian Imperial Stout,Michigan Brewing Co.  ,Webberville,MI,Ingham,Imperial Stout,2002
4348,Gold,Henry Weinhard's Amber Ale,Henry Weinhard's Brewing ,Milwaukee,WI,Milwaukee,Irish-Style Red Ale,2002
4349,Silver,Lumberjack Red Ale,Rock Bottom Breweries ,Bellevue,WA,King,Irish-Style Red Ale,2002
4350,Bronze,Irish Red,Hub City Brewery  ,Lubbock,TX,Lubbock,Irish-Style Red Ale,2002
4351,Gold,Helles in a Handbasket,Hub City Brewery ,Lubbock,TX,Lubbock,Munchner-Style Helles,2002
4352,Silver,Helles Lager,Firestone Walker Brewing Co.,Paso Robles,CA,San Luis Obispo,Munchner-Style Helles,2002
4353,Bronze,French Creek Helles,Sly Fox Brewhouse & Eatery ,Phoenixville,PA,Chester,Munchner-Style Helles,2002
4354,Gold,O'Doul's Amber,"Anheuser-Busch, Inc",Fort Collins,CO,Larimer,Non-Alcoholic (Beer) Malt Beverage,2002
4355,Silver,Old Milwaukee NA,Stroh Brewery Co. (The),San Antonio,TX,Bexar,Non-Alcoholic (Beer) Malt Beverage,2002
4356,Gold,Sinner's Stout,Angelic Brewing Co.,Madison,WI,Dane,Oatmeal Stout,2002
4357,Silver,Black Seal Stout,Rock Bottom Breweries ,Long Beach,CA,Los Angeles,Oatmeal Stout,2002
4358,Bronze,Wild Goose Oatmeal Stout,Frederick Brewing Co.,Frederick,MD,Frederick,Oatmeal Stout,2002
4359,Gold,Merry Prankster,Rock Bottom Breweries ,Portland,OR,Multnomah,Old Ale / Strong Ale,2002
4360,Silver,Celebration Brown,Island Brewing Co.  ,Carpenteria,CA,NOT KNOWN,Old Ale / Strong Ale,2002
4361,Bronze,Cabin Fever,Boundary Bay Brewery  ,Bellingham,WA,Whatcom,Old Ale / Strong Ale,2002
4362,Gold,Decade,Big Time Brewing Co.,Seattle,WA,King,Other Strong Ale or Lager,2002
4363,Silver,Dragonstooth Stout,Elysian Brewing Co.,Seattle,WA,King,Other Strong Ale or Lager,2002
4364,Bronze,Hopasaurus Rex,Steelhead Brewing Co.,Eugene,OR,Lane,Other Strong Ale or Lager,2002
4365,Gold,Edmund Fitzgerald Porter,Great Lakes Brewing Co/Ohio,Cleveland,OH,Cuyahoga,Robust Porter,2002
4366,Silver,Cutthroat Porter,Odell Brewing Co.,Fort Collins,CO,Larimer,Robust Porter,2002
4367,Bronze,Pig Iron Porter,Iron Hill Brewery & Restaurant,Media,PA,Delaware,Robust Porter,2002
4368,Gold,Rock Chuck Rye,Snake River Brewing of Lander ,Lander,WI,NOT KNOWN,Rye Beer,2002
4369,Silver,Tailwind Rye,Blind Tiger Brewery & Restaurant,Topeka,KS,Shawnee,Rye Beer,2002
4370,Bronze,Catcher in the Rye,Rock Bottom Breweries ,Arlington,VA,Arlington,Rye Beer,2002
4371,Gold,McAllister's Ale,Smiling Moose Brewpub & Grill  ,Greeley,CO,Weld,Scottish-Style Ale,2002
4372,Silver,Laughing Lab Scottish Ale,Bristol Brewing Co.,Colorado Springs,CO,El Paso,Scottish-Style Ale,2002
4373,Bronze,Hope & King Scotch Ale,Minneapolis Town Hall Brewery ,Minneapolis,MN,Hennepin,Scottish-Style Ale,2002
4374,Gold,BJ's Rauchbier,BJ's Restaurant & Brewery  ,Portland,OR,Multnomah,Smoke-Flavored Beer,2002
4375,Silver,Pelican Smoked Porter,Redfish New Orleans Brewhouse  ,Boulder,CO,Boulder,Smoke-Flavored Beer,2002
4376,Bronze,Alaskan Smoked Porter,Alaskan Brewing and Bottling Co.,Juneau,AK,Juneau,Smoke-Flavored Beer,2002
4377,Gold,Ashman's Abbaye Dubbel,Flossmoor Station Brewing Co.,Flossmoor,IL,Cook,Specialty Beer,2002
4378,Silver,Ginger Shandy,McCoys Public House & BrewKitchen ,Kansas City,MO,Jackson,Specialty Beer,2002
4379,Bronze,Maplenut Brown Ale,Tommyknocker Brewery  ,Idaho Springs,CO,Clear Creek,Specialty Beer,2002
4380,Gold,Star Spangled Ale,"Hops Restaurant, Bar and Brewery ",Tampa,FL,Hillsborough,Specialty Honey Beer,2002
4381,Silver,Honey Blonde,SLO Brewing Co.,Paso Robles,CA,San Luis Obispo,Specialty Honey Beer,2002
4382,Bronze,Ray's Honey Rye,Boscos Brewing Co.,Memphis,TN,Shelby,Specialty Honey Beer,2002
4383,Gold,Fat Bastard,Silver City Brewing Co.,Silverdale,WA,Kitsap,Strong Scotch Ale,2002
4384,Silver,Prescott's Wee Heavy,Bitter End Bistro & Brewery  ,Austin,TX,Travis,Strong Scotch Ale,2002
4385,Bronze,Wee Heavy Ale,Capitol City Brewing Co.,Arlington,VA,Arlington,Strong Scotch Ale,2002
4386,Gold,Collaborator Milk Stout,Widmer Brothers Brewing Co.,Portland,OR,Multnomah,Sweet Stout,2002
4387,Silver,Cream Stout,Redrock Brewing Co.,Flint,MI,Genesee,Sweet Stout,2002
4388,Bronze,Subjugator Stout,P.H. Woods Restaurant & Brewery  ,Moreno Valley,CA,Riverside,Sweet Stout,2002
4389,Gold,Dos Czechies,Hub City Brewery ,Lubbock,TX,Lubbock,Vienna-Style Lager,2002
4390,Silver,Dos Rios,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Garfield,Vienna-Style Lager,2002
4391,Bronze,Dockside Amber Lager,Wagner Brewing Co. ,Lodi,NY,Seneca,Vienna-Style Lager,2002
4392,Gold,Terminal Bourbon Stout,Rock Bottom Breweries ,Chicago,IL,Cook,Wood- and Barrel-Aged Beer,2002
4393,Silver,Dragon's Milk,New Holland Brewing Co.,Holland,MI,Ottawa,Wood- and Barrel-Aged Beer,2002
4394,Bronze,Old Conundrum Barley Wine,Flossmoor Station Brewing Co.,Flossmoor,IL,Cook,Wood- and Barrel-Aged Beer,2002
4395,Gold ,Bachelor ESB,Deschutes Brewery ,Bend,OR,Deschutes,(Extra Special) Strong Bitter,2001
4396,Silver ,The Tower ESB,Bull and Bush Pub and Brewery,Denver,CO,Denver,(Extra Special) Strong Bitter,2001
4397,Bronze,Alaskan ESB,Alaskan Brewing and Bottling Co.,Juneau,AK,Juneau,(Extra Special) Strong Bitter,2001
4398,Gold ,Calico Copper Ale,Ballast Point Brewing Co.  ,San Diego,CA,San Diego,American-Style Amber / Red Ale,2001
4399,Silver ,Hoppus Maximus,Thirsty Dog Grille and Brewery  ,N. Canton,OH,NOT KNOWN,American-Style Amber / Red Ale,2001
4400,Bronze,Woody's Hophead Red,Elk Grove Brewery and Restaurant,Elk Grove,CA,Sacramento,American-Style Amber / Red Ale,2001
4401,Gold ,Killians Irish Red,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Amber Lager,2001
4402,Silver ,OKT-OBER-FEST,Big Horn Brewing Co. ,Dallas,TX,Dallas,American-Style Amber Lager,2001
4403,Bronze,Pete's Wicked Red Rush,Pete's Brewing Co.,San Antonio,TX,Bexar,American-Style Amber Lager,2001
4404,Gold ,American Brown,Hub City Brewery ,Lubbock,TX,Lubbock,American-Style Brown Ale,2001
4405,Silver ,Nut Brown,Red Rock Brewing Co.,Salt Lake City,UT,Salt Lake,American-Style Brown Ale,2001
4406,Bronze,Midtown Brown,Boscos Brewing Co.,Memphis,TN,Shelby,American-Style Brown Ale,2001
4407,Gold ,Henry Weinhard's Dark,Blitz-Weinhard Brewing Co.,Tumwater,WA,Thurston,American-Style Dark Lager,2001
4408,Silver ,Freidobrau Oktoberfest,Big Horn Brewing Co.  ,Dallas,TX,Dallas,American-Style Dark Lager,2001
4409,Bronze,Shiner Bock,Spoetzl Brewery (The),San Antonio,TX,Bexar,American-Style Dark Lager,2001
4410,Gold ,Tumbleweed IPA,Sleeping Giant Brewing Co.  ,Billings,MT,Yellowstone,American-Style India Pale Ale,2001
4411,Silver ,Wipeout IPA,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,American-Style India Pale Ale,2001
4412,Bronze,India Pelican Ale,Pelican Pub & Brewery  ,Pacific City,OR,Tillamook,American-Style India Pale Ale,2001
4413,Gold ,Gold: Stag Bee,Pearl Brewing Co. ,Fort Worth,TX,NOT KNOWN,American-Style Lager,2001
4414,Silver ,Red Dog,Plank Road Brewery  ,Milwaukee,WI,Milwaukee,American-Style Lager,2001
4415,Bronze,Pearl Lager,Pearl Brewing Co.  ,Fort Worth,TX,NOT KNOWN,American-Style Lager,2001
4416,Gold ,Taps Cream Ale,TAPS Fish House and Brewery  ,Brea,CA,Orange,American-Style Lager/Ale or Cream Ale,2001
4417,Silver ,Holy Cow's Cream Ale,Holy Cow!  ,Las Vegas,NV,Clark,American-Style Lager/Ale or Cream Ale,2001
4418,Bronze,Iowa City Light,Fitzpatrick's  ,Iowa City,IA,Johnson,American-Style Lager/Ale or Cream Ale,2001
4419,Gold ,Schaefer Light,Schaefer Brewing Co.  ,Fogelsville,PA,Lehigh,American-Style Light Lager,2001
4420,Silver ,Stroh Light,Stroh Brewery Co. (The),Fogelsville,PA,Lehigh,American-Style Light Lager,2001
4421,Bronze,Lone Star Light,Lone Star Brewing Co.  ,Milwaukee,WI,Milwaukee,American-Style Light Lager,2001
4422,Gold ,SLO Brewing Co Extra Pale Ale,SLO Brewing Co. - Paso Robles  ,Paso Robles,CA,San Luis Obispo,American-Style Pale Ale,2001
4423,Silver ,Emmett's Pale Ale,Emmett's Tavern & Brewing Co. ,West Dundee,IL,Kane,American-Style Pale Ale,2001
4424,Bronze,Mad Hatter Ale,New Holland Brewing Co.,Holland,MI,Ottawa,American-Style Pale Ale,2001
4425,Gold ,Empire Lager,P.H. Woods Restaurant & Brewery ,Moreno Valley,CA,Riverside,American-Style Premium Lager,2001
4426,Silver ,Original Coors,Coors Brewing Co.,Golden,CO,Jefferson,American-Style Premium Lager,2001
4427,Bronze,Stroh,Stroh Brewery Co. (The),Fogelsville,PA,Lehigh,American-Style Premium Lager,2001
4428,Gold ,New South Lager,New South Brewing  ,Myrtle Beach,SC,Horry,American-Style Specialty Lager,2001
4429,Silver ,Old Milwaukee Ice,Stroh Brewery Co. (The),Fogelsville,PA,Lehigh,American-Style Specialty Lager,2001
4430,Bronze,St. Ides Malt Liquor,St. Ides Brewing Co.   ,Fogelsville,PA,Lehigh,American-Style Specialty Lager,2001
4431,Gold ,Grassfire Wheat,Hook & Ladder Brewing Co. ,Oakland,CA,Alameda,American-Style Wheat Ale or Lager,2001
4432,Silver ,Shiner Winter Ale,Spoetzl Brewery (The),San Antonio,TX,Bexar,American-Style Wheat Ale or Lager,2001
4433,Bronze,Widmer Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,Multnomah,American-Style Wheat Ale or Lager,2001
4434,Gold ,Lost Coast Barleywine,Lost Coast Brewery and Café,Eureka,CA,Humboldt,Barley Wine-Style Ale,2001
4435,Silver ,Bombshell Barleywine,Pizza Port - Carlsbad,Carlsbad,CA,San Diego,Barley Wine-Style Ale,2001
4436,Bronze,Barley Wine,Rohrbach Brewing Co. ,Rochester,NY,Monroe,Barley Wine-Style Ale,2001
4437,Gold ,La Folie,New Belgium Brewing Co.,Fort Collins,CO,Larimer,Belgian- & French-Style Specialty Ales,2001
4438,Silver ,Liquid Sunshine,Rock Bottom Brewery - Westminster ,Westminster,CO,Adams,Belgian- & French-Style Specialty Ales,2001
4439,Bronze,Artisian Saison,Rocky River Brewing Co. - Ohio  ,Rocky River,OH,Cuyahoga,Belgian- & French-Style Specialty Ales,2001
4440,Gold ,Trippel Belgian Style Ale,New Belgium Brewing Co.,Fort Collins,CO,Larimer,Belgian-Style Ale,2001
4441,Silver ,Damnation,Russian River Brewing Co.,Guerneville,CA,Sonoma,Belgian-Style Ale,2001
4442,Bronze,Abbey Belgian Style Ale,New Belgium Brewing Co.,Fort Collins,CO,Larimer,Belgian-Style Ale,2001
4443,Gold ,Full Suspension Pale Ale,Utah Brewers Cooperative,Salt Lake City,UT,Salt Lake,Bitter,2001
4444,Silver ,Dostal's Best Bitter,Dostal Alley BrewPub & Casino  ,Central City,CO,Gilpin,Bitter,2001
4445,Bronze,Cascade Ale,Deschutes Brewery ,Bend,OR,Deschutes,Bitter,2001
4446,Gold ,Dunkles Bock,Boundary Bay Brewery ,Bellingham,WA,Whatcom,Bock,2001
4447,Silver ,Hell's Bock,Big Horn Brewing Co.  ,Denver,CO,Denver,Bock,2001
4448,Bronze,Mad Brewer Maibock,Church Brew Works  ,Pittsburgh,PA,Allegheny,Bock,2001
4449,Gold ,Cleveland Chophouse Bohemian Pilsner,ChopHouse and Brewery-Cleveland,Cleveland,OH,Cuyahoga,Bohemian Style Pilsener ,2001
4450,Silver ,Pillage Pilsner,Valhalla Microbrewery & Restaurant  ,Pittsburgh,PA,Allegheny,Bohemian Style Pilsener ,2001
4451,Bronze,Czech Mate Pils,Brew Moon Restaurant & Microbrewery  ,Brookline,MA,Norfolk,Bohemian Style Pilsener ,2001
4452,Gold ,MacTarnahan's Black Watch Cream Porter,Portland Brewing Co.,Portland,OR,Multnomah,Brown Porter,2001
4453,Silver ,Molly's Titanic Brown Ale,Rock Bottom Brewery - South Denver  ,Denver,CO,Denver,Brown Porter,2001
4454,Bronze,Paradise Lost Porter,Angelic Brewing Co.,Madison,WI,Dane,Brown Porter,2001
4455,Gold ,Darth Delirium,Moose's Tooth Brewing Co.,Anchorage,AK,Anchorage,Chocolate / Cocoa Flavored Beer,2001
4456,Silver ,Chocolate Stout,Rogue Ales  ,Newport,OR,Lincoln,Chocolate / Cocoa Flavored Beer,2001
4457,Bronze,Oompa Loompa,Rocky River Brewing Co. - Ohio,Rocky River,OH,Cuyahoga,Chocolate / Cocoa Flavored Beer,2001
4458,Gold ,Custer's Last Ale,Snake River Brewing Co.,Jackson,WY,Teton,Classic English Style Pale Ale ,2001
4459,Silver ,Breckenridge Pale Ale,Breckenridge Brewery ,Denver,CO,Denver,Classic English Style Pale Ale ,2001
4460,Bronze,Annadel Pale Ale,Third Street AleWorks,Santa Rosa,CA,Sonoma,Classic English Style Pale Ale ,2001
4461,Gold ,Lord Stanley,Steelhead Brewing Co.,Irvine,CA,Orange,Classic Irish-Style Dry Stout ,2001
4462,Silver ,Celtic Stout,Fitzpatrick's  ,Iowa City,IA,Johnson,Classic Irish-Style Dry Stout ,2001
4463,Bronze,Dark Starr Stout,Starr Hill Brewing Co. ,Charlottesville,VA,Charlottesville (city),Classic Irish-Style Dry Stout ,2001
4464,Gold ,Sweet Georgia Brown,Sweetwater Brewing Co.,Atlanta,GA,Fulton,English-Style Brown Ale,2001
4465,Silver ,Nut Brown Ale,Blackstone Restaurant & Brewery  ,Nashville,TN,Davidson,English-Style Brown Ale,2001
4466,Bronze,Thunderbolt Brown,Pony Express Brewing Co.,Olathe,KS,Johnson,English-Style Brown Ale,2001
4467,Gold ,SLO Progress,SLO Brewing Co. - San Luis Obispo ,San Luis Obispo,CA,San Luis Obispo,English-Style India Pale Ale,2001
4468,Silver ,Hoppyhour IPA,Mash House Restaurant & Brewing Co. (The),Fayetteville,NC,Cumberland,English-Style India Pale Ale,2001
4469,Bronze,India Pale Ale,Goose Island Beer Co.  ,Chicago,IL,Cook,English-Style India Pale Ale,2001
4470,Gold ,Damsel in Distress Dunkel,Mammoth Brewing,Mammoth Lakes,CA,Mono,European-Style Dark / Munchner Dunkel,2001
4471,Silver ,Dunkles,Powerhouse Restaurant & Brewery,Sebastopol,CA,Sonoma,European-Style Dark / Munchner Dunkel,2001
4472,Bronze,Pious Monk Dunkel,Church Brew Works ,Pittsburgh,PA,Allegheny,European-Style Dark / Munchner Dunkel,2001
4473,Gold ,Michelob,"Anheuser-Busch, Inc",Saint Louis,MO,St. Louis (city),European-Style Pilsener,2001
4474,Silver ,Import/Export Buis,Brewzzi  ,Boca Raton,FL,Palm Beach,European-Style Pilsener,2001
4475,Bronze,Pinch Hit Pilsner,Sandlot Brewery at Coors Field,Denver,CO,Denver,European-Style Pilsener,2001
4476,Gold ,Czar Jack Bourbon Barrel Imperial Stout,Minneapolis Town Hall Brewery  ,Minneapolis,MN,Hennepin,Experimental Beer,2001
4477,Silver ,Cuvee de Tomme,Pizza Port - Solana Beach,Solana Beach,CA,San Diego,Experimental Beer,2001
4478,Bronze,Special Brew Lemon Lime,St. Ides Brewing Co.   ,Milwaukee,WI,Milwaukee,Experimental Beer,2001
4479,Gold ,Sofa King Stout,West Bros Brewery  ,Eugene,OR,Lane,Foreign Style Stout ,2001
4480,Silver ,Irish Stout,Bellows Brew Crew (The),Watertown,WI,Jefferson,Foreign Style Stout ,2001
4481,Bronze,Space Stout,Laurelwood Public House & Brewery ,Portland,OR,Multnomah,Foreign Style Stout ,2001
4482,Gold ,Raspberry Tart,New Glarus Brewing Co.,New Glarus,WI,Green,Fruit Beer,2001
4483,Silver ,Belgian Style Red,New Glarus Brewing Co.,New Glarus,WI,Green,Fruit Beer,2001
4484,Bronze,Railway Razz,Willoughby Brewing Co. (The),Willoughby,OH,Lake,Fruit Beer,2001
4485,Gold ,Boca Alt,Brewzzi  ,Boca Raton,FL,Palm Beach,German-Style Brown Ale / Dusseldorf-Style Altbier,2001
4486,Silver ,Otis Alt,Elk Grove Brewery and Restaurant,Elk Grove,CA,Sacramento,German-Style Brown Ale / Dusseldorf-Style Altbier,2001
4487,Bronze,Dusseldorf Altbier,Gilded Otter Brewing Co.  ,New Paltz,NY,Ulster,German-Style Brown Ale / Dusseldorf-Style Altbier,2001
4488,Gold ,Scapegoat Doppelbock,Mickey Finn's Brewery  ,Libertyville,IL,Lake,German-Style Doppelbock,2001
4489,Silver ,Liberator Doppelbock,Angelic Brewing Co.,Madison,WI,Dane,German-Style Doppelbock,2001
4490,Bronze,Bell's Consecrator Dopplebock,Kalamazoo Brewing  ,Kalamazoo,MI,Kalamazoo,German-Style Doppelbock,2001
4491,Gold ,Pete's Wicked Helles Lager,Pete's Brewing Co.,San Antonio,TX,Bexar,German-Style Kolsch / Koln-Style Kolsch,2001
