id,Medal,Beer Name,Brewery,City,County,State,Category,Year,Total Category Entries
242,Gold,BMB Rye IPA,Black Market Brewing Co.,Temecula,Riverside,CA,Rye Beer,2010,32
243,Gold,Blue Moon Summer Honey Wheat Ale,Blue Moon Brewing Co.,Denver,Denver,CO,Specialty Honey Beer,2010,24
244,Gold,Squatters Wit,Utah Brewers Cooperative,Salt Lake City,Salt Lake,UT,Session Beer,2010,30
245,Gold,Sierra 30 Jack and Ken’s Ale,Sierra Nevada Brewing Co.,Chico,Butte,CA,Other Strong Beer,2010,48
246,Gold,Key Lime Pie,Short’s Brewing Co.,Bellaire,Sedgwick,MI,Experimental Beer,2010,43
247,Gold,Fathom IPL,Ballast Point Brewing Co.,San Diego,San Diego,CA,Out of Category – Traditionally Brewed Beer,2010,66
248,Gold,Celia Pale Ale,The Alchemist,Waterbury,New Haven,VT,Gluten Free Beer,2010,13
249,Gold,Ryevalry,Bear Republic Factory Five,Cloverdale,Lauderdale,CA,American Belgo Style Ale,2010,47
250,Gold,Brute,Ithaca Beer Co.,Ithaca,Gratiot,NY,American Style Sour Ale,2010,39
251,Gold,Velvet Merkin (100% Barrel Aged),Firestone Walker Brewing Co.,Paso Robles,San Luis Obispo,CA,Wood  and Barrel Aged Beer,2010,32
252,Gold,Barrel Aged Big Island,Island Brewing Co.,Carpinteria,Santa Barbara,CA,Wood  and Barrel Aged Strong Beer,2010,77
253,Gold,Bourbon Barrel Aged Sexual Chocolate Imperial Stout,Foothills Brewing,Winston-Salem,Forsyth,NC,Wood  and Barrel Aged Strong Stout,2010,34
254,Gold,Le Serpent Cerise,Snake River Brewing,Jackson,Clarke,WY,Wood  and Barrel Aged Sour Beer,2010,54
255,Gold,John Barleycorn Barleywine ‘06,Mad River Brewing Co.,Blue Lake,Humboldt,CA,Aged Beer,2010,30
256,Gold,Kolsch,Hale’s Ales,Seattle,King,WA,Kellerbier/Zwickelbier,2010,24
257,Gold,Alaskan Smoked Porter 2009,Alaskan Brewing Co.,Juneau,Juneau,AK,Smoked Beer,2010,38
258,Gold,Gold Leaf Lager,Devils Backbone Brewing Co.,Roseland,Sonoma,VA,American Style or International Style Pilsener,2010,27
259,Gold,Trumer Pils,Trumer Brauerei Berkeley,Berkeley,Alameda,CA,German Style Pilsener,2010,48
260,Gold,Boathouse Pilsner,Titletown Brewing Co.,Green Bay,Brown,WI,Bohemian Style Pilsener,2010,42
261,Gold,What in the Helles?,Steamworks Brewing Co,Durango,La Plata,CO,Munich Style Helles,2010,42
