,Medal,Beer Name,Brewery,City,State,Category,Year
2985,Gold,Kick-Ass Brown,C.H. Evans Brewing Co. at the Albany Pump Station,Albany,NY,American-Style Brown Ale,2008
2986,Silver,Bitch Creek ESB,Grand Teton Brewing Co.,Victor,ID,American-Style Brown Ale,2008
2987,Bronze,Bad Dog Brown Ale,Elk Grove Brewery and Restaurant,Elk Grove,CA,American-Style Brown Ale,2008
2988,Gold,Lone Star,Pabst Brewing Co.,Woodridge,IL,American-Style Cream Ale or Lager ,2008
2989,Silver,Hamm's,MillerCoors,Milwaukee,WI,American-Style Cream Ale or Lager ,2008
2990,Bronze,Henry Weinhard's Blue Boar Pale Ale,MillerCoors,Milwaukee,WI,American-Style Cream Ale or Lager ,2008
2991,Silver,Leinenkugel's Creamy Dark,Jacob Leinenkugel Brewing Co.,Chippewa Falls,WI,American-Style Dark Lager,2008
2992,Bronze,Henry Weinhard's Classic Dark,MillerCoors,Milwaukee,WI,American-Style Dark Lager,2008
2993,Gold,Henry Weinhard's Hefeweizen,MillerCoors,Milwaukee,WI,American-Style Hefeweizen ,2008
2994,Silver,Hefeweizen,Widmer Brothers Brewing Co.,Portland,OR,American-Style Hefeweizen ,2008
2995,Bronze,Whitetail Wheat,Montana Brewing Co.,Billings,MT,American-Style Hefeweizen ,2008
2996,Gold,Union Jack IPA,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style India Pale Ale,2008
2997,Silver,Blind Pig IPA,Russian River Brewing Co.,Santa Rosa,CA,American-Style India Pale Ale,2008
2998,Bronze,Hop Head,Bend Brewing Co.,Bend,OR,American-Style India Pale Ale,2008
2999,Gold,Olympia,Pabst Brewing Co.,Woodridge,IL,American-Style Lager or Premium Lager,2008
3000,Silver,Blatz,Pabst Brewing Co.,Woodridge,IL,American-Style Lager or Premium Lager,2008
3001,Bronze,Henry Weinhard's Private Reserve,MillerCoors,Milwaukee,WI,American-Style Lager or Premium Lager,2008
3002,Gold,The Dissident,Deschutes Brewery,Bend,OR,American-Style or German-Style Sour Ale ,2008
3003,Silver,Brute,Ithaca Beer Co.,Ithaca,NY,American-Style or German-Style Sour Ale ,2008
3004,Bronze,Fifth Element,Squatters Pub Brewery,Salt Lake City,UT,American-Style or German-Style Sour Ale ,2008
3005,Gold,Mission Street Pale,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Pale Ale,2008
3006,Silver,Drake's 1500 Pale,Drake's Brewing Co.,San Leandro,CA,American-Style Pale Ale,2008
3007,Bronze,Firestone Pale 31,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Pale Ale,2008
3008,Gold,Hurricane High Gravity,"Anheuser-Busch, Inc",St. Louis,MO,American-Style Specialty Lager,2008
3009,Silver,Natural Ice,"Anheuser-Busch, Inc",St. Louis,MO,American-Style Specialty Lager,2008
3010,Bronze,Busch Ice,"Anheuser-Busch, Inc",St. Louis,MO,American-Style Specialty Lager,2008
3011,Gold,Terminal Stout,Rock Bottom Breweries,Louisville,CO,American-Style Stout,2008
3012,Silver,Black Mocha Stout,Highland Brewing Co.,Asheville,NC,American-Style Stout,2008
3013,Bronze,Troegs Dead Reckoning,Tröegs Brewing Co.,Harrisburg,PA,American-Style Stout,2008
3014,Gold,Hop Bomb,Rock Bottom Breweries,Louisville,CO,American-Style Strong Pale Ale,2008
3015,Silver,Nectar Pale,Firestone Walker Brewing Co.,Paso Robles,CA,American-Style Strong Pale Ale,2008
3016,Bronze,Organic IPA,Hopworks Urban Brewery,Portland,OR,American-Style Strong Pale Ale,2008
3017,Gold,Pyramid Crystal Wheat Ale,Pyramid Breweries Inc,Seattle,WA,American-Style Wheat Beer,2008
3018,Silver,Spanish Peak Crystal Weiss,Spanish Peaks Brewing Co.,Stamford,CT,American-Style Wheat Beer,2008
3019,Bronze,American Wheat,Gella's Diner and Lb. Brewing Co.,Hays,KS,American-Style Wheat Beer,2008
3020,Gold,Kick in the Baltic Porter,Bluegrass Brewing Co.,Louisville,KY,Baltic-Style Porter,2008
3021,Silver,Killer Kowalski,Flossmoor Station Brewing Co.,Flossmoor,IL,Baltic-Style Porter,2008
3022,Bronze,SMP,Sixpoint Craft Ales,Brooklyn,NY,Baltic-Style Porter,2008
3023,Gold,Treblehook,Redhook Ale Brewery,Portland,OR,Barley Wine-Style Ale,2008
3024,Silver,AleSmith Old Numbskull,AleSmith Brewing Co.,San Diego,CA,Barley Wine-Style Ale,2008
3025,Bronze,"Scratch # 4 ""The Flying Mouflan""",Tröegs Brewing Co.,Harrisburg,PA,Barley Wine-Style Ale,2008
3026,Gold,Redemption,Russian River Brewing Co.,Santa Rosa,CA,Belgian- and French-Style Ale,2008
3027,Silver,Pride,Midnight Sun Brewing Co.,Anchorage,AK,Belgian- and French-Style Ale,2008
3028,Bronze,Rare Vos,Brewery Ommegang,Cooperstown,NY,Belgian- and French-Style Ale,2008
3029,Gold,Bishop's Tipple Trippel,Main Street Brewery,Corona,CA,Belgian-Style Abbey Ale,2008
3030,Silver,Abbey Dubbel,Flying Fish Brewing Co.,Cherry Hill,NJ,Belgian-Style Abbey Ale,2008
3031,Bronze,6th Glass,Boulevard Brewing Co.,Kansas City,MO,Belgian-Style Abbey Ale,2008
3032,Gold,Lambic de Hill,Iron Hill Brewery & Restaurant - Media,Wilmington,DE,Belgian-Style Lambic or Sour Ale,2008
3033,Silver,Upstream Gueuze-Lambic,Upstream Brewing Co.,Omaha,NE,Belgian-Style Lambic or Sour Ale,2008
3034,Bronze,Cassis de Hill,Iron Hill Brewery & Restaurant - Newark,Wilmington,DE,Belgian-Style Lambic or Sour Ale,2008
3035,Gold,Darth Delirium,Moose's Tooth Brewing Co.,Anchorage,AK,Belgian-Style Strong Specialty Ale,2008
3036,Silver,Brother Davids Double,Anderson Valley Brewing Co.,Boonville,CA,Belgian-Style Strong Specialty Ale,2008
3037,Bronze,Golden Armor,CB & Potts Restaurant & Brewery - Highlands Ranch,Highlands Ranch,CO,Belgian-Style Strong Specialty Ale,2008
3038,Gold,Mothership Wit / Organic Wheat Beer,New Belgium Brewing Co.,Fort Collins,CO,Belgian-Style Witbier ,2008
3039,Silver,Belgian Wit,Redrock Brewing Co.,Salt Lake City,UT,Belgian-Style Witbier ,2008
3040,Bronze,Squatters Wit,Utah Brewers Cooperative,Salt Lake City,UT,Belgian-Style Witbier ,2008
3041,Gold,Drop Top,Widmer Brothers Brewing Co.,Portland,OR,Bitter or Pale Mild Ale,2008
3042,Silver,Hopsmith Pale Ale,Bull & Bush Brewery,Denver,CO,Bitter or Pale Mild Ale,2008
3043,Bronze,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,Bitter or Pale Mild Ale,2008
3044,Gold,Goat Rancher,SandLot (The),Denver,CO,Bock,2008
3045,Silver,Bock Lager,Elk Grove Brewery and Restaurant,Elk Grove,CA,Bock,2008
3046,Bronze,Butt Head Bock,Tommyknocker Brewery,Idaho Springs,CO,Bock,2008
3047,Gold,Pleasantville Pils,Durango Brewing Co.,Durango,CO,Bohemian-Style Pilsener,2008
3048,Silver,Pallavicini Pilsner,Pug Ryan's Brewery,Dillon,CO,Bohemian-Style Pilsener,2008
3049,Bronze,Double Aught,Bear Republic Brewing Co.,Healdsburg,CA,Bohemian-Style Pilsener,2008
3050,Gold,BlackWatch Cream Porter,Pyramid Breweries Inc,Seattle,WA,Brown Porter ,2008
3051,Silver,FireHouse Porter,FireHouse Grill & Brewery,Sunnyvale,CA,Brown Porter ,2008
3052,Bronze,Prospector Porter,Tommyknocker Brewery,Idaho Springs,CO,Brown Porter ,2008
3053,Gold,Full Sail Pale Ale,Full Sail Brewing Co.,Hood River,OR,Classic English-Style Pale Ale,2008
3054,Silver,Clipper City Pale Ale,Clipper City Brewing Co.,Baltimore,MD,Classic English-Style Pale Ale,2008
3055,Bronze,Summit Extra Pale Ale,Summit Brewing Co.,Saint Paul,MN,Classic English-Style Pale Ale,2008
3056,Gold,Blarney Sisters Dry Irish Stout,Third Street AleWorks,Santa Rosa,CA,Classic Irish-Style Dry Stout,2008
3057,Silver,Shaft House Stout,Dostal Alley Brewpub & Casino,Central City,CO,Classic Irish-Style Dry Stout,2008
3058,Bronze,Port Truck Stout,Pizza Port - Carlsbad,Carlsbad,CA,Classic Irish-Style Dry Stout,2008
3059,Gold,Java the Hut,CB & Potts Restaurant & Brewery - Flatirons/Westminster,Broomfield,CO,Coffee Flavored Beer,2008
3060,Silver,Big Shot Espresso Stout,Twisted Pine Brewing Co.,Boulder,CO,Coffee Flavored Beer,2008
3061,Bronze,Double Espresso Stout,Barley Brothers Brewery & Grill,Lake Havasu City,AZ,Coffee Flavored Beer,2008
3062,Gold,Rolling Thunder Dortmunder,Snake River Brewing Jackson,Jackson,WY,Dortmunder or German-Style Oktoberfest,2008
3063,Silver,Westy Export,CB & Potts Restaurant & Brewery - Flatirons/Westminster,Broomfield,CO,Dortmunder or German-Style Oktoberfest,2008
3064,Bronze,Penn Oktoberfest,Pennsylvania Brewing Co.,Pittsburgh,PA,Dortmunder or German-Style Oktoberfest,2008
3065,Gold,Sweet George's Brown,Dillon DAM Brewery,Dillon,CO,English-Style Dark Mild Ale or Brown Ale,2008
3066,Silver,Old Elk Brown Ale,Walnut Brewery,Boulder,CO,English-Style Dark Mild Ale or Brown Ale,2008
3067,Bronze,OB-1,Snake River Brewing Jackson,Jackson,WY,English-Style Dark Mild Ale or Brown Ale,2008
3068,Bronze,Hop Daddy IPA,Main Street Brewery,Corona,CA,English-Style India Pale Ale,2008
3069,Gold,Surfer's Summer Ale,Pelican Pub & Brewery,Pacific City,OR,English-Style Summer Ale,2008
3070,Silver,Montgomery Blonde,Montgomery Brewing Co.,Montgomery,AL,English-Style Summer Ale,2008
3071,Bronze,312 'Urban Wheat Ale',Goose Island Beer Co.,Chicago,IL,English-Style Summer Ale,2008
3072,Gold,Munich Dark,Redwood Brewing Co.,Flint,MI,European-Style Dunkel,2008
3073,Silver,Bastone Münchner Dunkel,Bastone Brewery,Royal Oak,MI,European-Style Dunkel,2008
3074,Bronze,Michelob Amberbock,Michelob Brewing Co.,St. Louis,MO,European-Style Dunkel,2008
3075,Gold,Arquebus,Cambridge Brewing Co.,Cambridge,MA,Experimental Beer,2008
3076,Silver,Fifteen Avery Anniversary Ale,Avery Brewing Co.,Boulder,CO,Experimental Beer,2008
3077,Bronze,Le Pelican Brun,Pelican Pub & Brewery,Pacific City,OR,Experimental Beer,2008
3078,Gold,Bachelor ESB,Deschutes Brewery,Bend,OR,Extra Special Bitter or Strong Bitter,2008
3079,Silver,Sweetwater Motorboat ESB,Sweetwater Brewing Co.,Atlanta,GA,Extra Special Bitter or Strong Bitter,2008
3080,Bronze,Standing Wave Pale Ale,Kannah Creek Brewing Co.,Grand Junction,CO,Extra Special Bitter or Strong Bitter,2008
3081,Gold,Whiteface Black Diamond Stout,Great Adirondack Brewing Co.,Lake Placid,NY,Foreign-Style Stout,2008
3082,Silver,Black Bear XX Stout,Alameda Brewhouse,Portland,OR,Foreign-Style Stout,2008
3083,Bronze,Black Hole XXX Stout,Chelsea Brewing Co.,New York,NY,Foreign-Style Stout,2008
3084,Gold,Saison,Iron Hill Brewery & Restaurant - West Chester,Wilmington,DE,French- and Belgian-Style Saison,2008
3085,Silver,Saison,Nodding Head Brewing Co.,Philadelphia,PA,French- and Belgian-Style Saison,2008
3086,Bronze,Luciernaga,Jolly Pumpkin Artisan Ales,Dexter,MI,French- and Belgian-Style Saison,2008
3087,Gold,Pyramid Apricot Ale,Pyramid Breweries Inc,Seattle,WA,Fruit or Vegetable Beer,2008
3088,Silver,Alaskan Raspberry Wheat Beer,Alaskan Brewing Co.,Juneau,AK,Fruit or Vegetable Beer,2008
3089,Bronze,Sangre de Frambuesa,Santa Fe Brewing Co.,Santa Fe,NM,Fruit or Vegetable Beer,2008
3090,Gold,The Detroit Dwarf,Detroit Beer Co. (The),Detroit,MI,German-Style Altbier,2008
3091,Silver,Railyard Ale,Titletown Brewing Co.,Green Bay,WI,German-Style Altbier,2008
3092,Bronze,All The Way Alt,Desert Edge Brewery,Salt Lake City,UT,German-Style Altbier,2008
3093,Gold,Wind Blown Blonde,Stewart's Brewing Co.,Bear,DE,German-Style Kölsch ,2008
3094,Silver,Sierra Nevada Kolsch Style Ale,Sierra Nevada Brewing Co.,Chico,CA,German-Style Kölsch ,2008
3095,Bronze,Guido's Kolner Brau,Snake River Brewing Jackson,Jackson,WY,German-Style Kölsch ,2008
3096,Gold,Dogtoberfest,Flying Dog Brewery,Frederick,MD,German-Style Märzen,2008
3097,Silver,Saratoga Lager,Olde Saratoga Brewing Co.,Saratoga Springs,NY,German-Style Märzen,2008
3098,Bronze,Munsterfest,Three Floyds Brewing Co. LLC,Munster,IN,German-Style Märzen,2008
3099,Gold,Kaiser Pilsner,Pennsylvania Brewing Co.,Pittsburgh,PA,German-Style Pilsener,2008
3100,Silver,Party Pants Pilsener,Pizza Port - Carlsbad,Carlsbad,CA,German-Style Pilsener,2008
3101,Bronze,Prima Pils,Victory Brewing Co.,Downingtown,PA,German-Style Pilsener,2008
3102,Gold,B3K,Wynkoop Brewing Co.,Denver,CO,German-Style Schwarzbier,2008
3103,Silver,Cherny Bock,Bohemian Brewery,Midvale,UT,German-Style Schwarzbier,2008
3104,Bronze,Black Noddy Lager,Buckbean Brewing Co.,Reno,NV,German-Style Schwarzbier,2008
3105,Gold,Capital Autumnal Fire,Capital Brewery Co. Inc,Middleton,WI,German-Style Strong Bock,2008
3106,Silver,Deep Water Dopplebock,Thomas Creek Brewery,Greenville,SC,German-Style Strong Bock,2008
3107,Bronze,Red Cock Doppel Bock,Maui Brewing Co.,Lahaina,HI,German-Style Strong Bock,2008
3108,Gold,I'm Half the Beer I Used to Be,BJ's Restaurant & Brewery - Chandler,Huntington Beach,CA,German-Style Wheat Ale,2008
3109,Silver,Dark-n-Curvy Dunkelweizen,Piece Brewery,Chicago,IL,German-Style Wheat Ale,2008
3110,Bronze,Wasatch Hefeweizen,Wasatch Brew Pub,Park City,UT,German-Style Wheat Ale,2008
3111,Gold,Redbridge,"Anheuser-Busch, Inc",St. Louis,MO,Gluten Free Beer,2008
3112,Silver,New Grist,Lakefront Brewery Inc,Milwaukee,WI,Gluten Free Beer,2008
3113,Bronze,Chinquapin Butte Golden Ale,Deschutes Brewery,Bend,OR,Gluten Free Beer,2008
3114,Gold,Steelhead Extra Pale Ale,Mad River Brewing Co.,Blue Lake,CA,Golden or Blonde Ale,2008
3115,Silver,Alaskan Summer Ale,Alaskan Brewing Co.,Juneau,AK,Golden or Blonde Ale,2008
3116,Bronze,All Nighter,Chicago Brewing Co.,Las Vegas,NV,Golden or Blonde Ale,2008
3117,Gold,Russian Roulette,Minneapolis Town Hall Brewery,Minneapolis,MN,Herb and Spice or Chocolate Beer ,2008
3118,Silver,Pangaea,Dogfish Head Craft Brewery,Milton,DE,Herb and Spice or Chocolate Beer ,2008
3119,Bronze,State Beach Blonde,Pizza Port - Carlsbad,Carlsbad,CA,Herb and Spice or Chocolate Beer ,2008
3120,Gold,Hopnotic 2X IPA,San Diego Brewing Co.,San Diego,CA,Imperial or Double India Pale Ale,2008
3121,Silver,Hip Hop Double IPA,Hollister Brewing Co.,Goleta,CA,Imperial or Double India Pale Ale,2008
3122,Bronze,Hop 15,Port Brewing & The Lost Abbey,San Marcos,CA,Imperial or Double India Pale Ale,2008
3123,Gold,Rock Hopera Imperial IPA,Vino's Pizza*Pub*Brewery,Little Rock,AR,Imperial or Double Red Ale,2008
3124,Silver,Alpha Dog Double Red Ale,Big Dog's Brewing Co.,Las Vegas,NV,Imperial or Double Red Ale,2008
3125,Bronze,Weekender Red Ale,Amicas,Salida,CO,Imperial or Double Red Ale,2008
3126,Gold,BORIS The Crusher Oatmeal-Imperial Stout,Hoppin' Frog Brewing Co.,Akron,OH,Imperial Stout,2008
3127,Silver,Night Rider Imperial Stout,Pizza Port - Carlsbad,Carlsbad,CA,Imperial Stout,2008
3128,Bronze,Yeti Imperial Stout,Great Divide Brewing Co.,Denver,CO,Imperial Stout,2008
3129,Gold,Session Premium Lager,Full Sail Brewing Co.,Hood River,OR,International-Style Pilsener,2008
3130,Silver,"Yep, Still Boneheads",SandLot (The),Denver,CO,International-Style Pilsener,2008
3131,Bronze,OE 800,MillerCoors,Milwaukee,WI,International-Style Pilsener,2008
3132,Gold,Red Rocks Red Ale,Rock Bottom Breweries,Louisville,CO,Irish-Style Red Ale,2008
3133,Silver,Ragtop Red,Rock Bottom Brewery - La Jolla,La Jolla,CA,Irish-Style Red Ale,2008
3134,Bronze,Eric The Red,Rock Bottom Brewery - Orland Park,Orland Park,IL,Irish-Style Red Ale,2008
3135,Gold,Helles Keller,Fredericksburg Brewing Co.,Fredericksburg,TX,Kellerbier/Zwickelbier ,2008
3136,Silver,Hell In Keller,Uncle Billy's Brew & Que,Austin,TX,Kellerbier/Zwickelbier ,2008
3137,Bronze,Zwickel,Chama River Brewing Co.,Albuquerque,NM,Kellerbier/Zwickelbier ,2008
3138,Gold,Himmelbrau Helles,Laurelwood Brewing Co.,Portland,OR,Munich-Style Helles,2008
3139,Silver,Saint Arnold Summer Pils,Saint Arnold Brewing Co.,Houston,TX,Munich-Style Helles,2008
3140,Bronze,BS Helles,SandLot (The),Denver,CO,Munich-Style Helles,2008
3141,Gold,Oatmeal Stout,Gella's Diner and Lb. Brewing Co.,Hays,KS,Oatmeal Stout,2008
3142,Silver,Velvet Merkin,Firestone Walker Brewing Co.,Paso Robles,CA,Oatmeal Stout,2008
3143,Bronze,Oatmeal Stout,Morgan Territory Brewing,Antioch,CA,Oatmeal Stout,2008
3144,Gold,AleSmith Decadence Old Ale,AleSmith Brewing Co.,San Diego,CA,Old Ale or Strong Ale,2008
3145,Silver,Old Scrooge,Silver City Restaurant & Brewery,Silverdale,WA,Old Ale or Strong Ale,2008
3146,Bronze,Old Scratch Barley Wine '99,Great Dane Pub & Brewing Co. (The),Madison,WI,Old Ale or Strong Ale,2008
3147,Gold,Derail Ale,Durango Brewing Co.,Durango,CO,Other Strong Beer ,2008
3148,Silver,Imperial Oatmeal Stout,Boundary Bay Brewery,Bellingham,WA,Other Strong Beer ,2008
3149,Bronze,FiftyFifty Imperial Stout,FiftyFifty Brewing Co.,Truckee,CA,Other Strong Beer ,2008
3150,Gold,Barking Dog Scottish Ale,Big Time Brewing Co.,Seattle,WA,Pro-Am Competition,2008
3151,Silver,Bamberg Hellerbock,Starr Hill Brewing Co. ,Crozet,VA,Pro-Am Competition,2008
3152,Bronze,Irish Red,Odell Brewing Co.,Fort Collins,CO,Pro-Am Competition,2008
3153,Gold,Nolan's Porter,Barrio Brewing Co.,Tucson,AZ,Robust Porter,2008
3154,Silver,Sweet Sanderine Porter,Il Vicino Brewing Co.,Albuquerque,NM,Robust Porter,2008
3155,Bronze,Pacemaker Porter,Flyers Restaurant and Brewery,Oak Harbor,WA,Robust Porter,2008
3156,Gold,Roggenbier,Iron Hill Brewery & Restaurant - Media,Wilmington,DE,Rye Beer,2008
3157,Silver,Right On Rye,Rock Bottom Brewery - Bethesda,Bethesda,MD,Rye Beer,2008
3158,Bronze,Ryeteous Red,Amherst Brewing Co.,Amherst,MA,Rye Beer,2008
3159,Gold,Highland Courage,Rock Bottom Brewery - Bethesda,Bethesda,MD,Scottish-Style Ale,2008
3160,Silver,Dells Chief Amber Ale,Dells Brewing Co.,Wisconsin Dells,WI,Scottish-Style Ale,2008
3161,Bronze,Railbender Ale,Erie Brewing Co.,Erie,PA,Scottish-Style Ale,2008
3162,Gold,3.2 Unfiltered Wheat Beer,Boulevard Brewing Co.,Kansas City,MO,Session Beer,2008
3163,Silver,USS Minnow Mild Ale,Dry Dock Brewing Co.,Aurora,CO,Session Beer,2008
3164,Bronze,Blonde Bombshell,Cascade Lakes Brewing Co.,Redmond,OR,Session Beer,2008
3165,Gold,Rauch Bier,Sly Fox Brewing Co.,Royersford,PA,Smoke-Flavored Beer,2008
3166,Silver,Alaskan Smoked Porter 2007,Alaskan Brewing Co.,Juneau,AK,Smoke-Flavored Beer,2008
3167,Bronze,Second Hand Smoke,SandLot (The),Denver,CO,Smoke-Flavored Beer,2008
3168,Gold,Wixa Weiss,Wynkoop Brewing Co.,Denver,CO,South German-Style Hefeweizen,2008
3169,Silver,The Love,Starr Hill Brewing Co.,Crozet,VA,South German-Style Hefeweizen,2008
3170,Bronze,Mueller Hefeweizen,Springfield Brewing Co.,Springfield,MO,South German-Style Hefeweizen,2008
3171,Gold,Red & White,Dogfish Head Craft Brewery,Milton,DE,Specialty Beer,2008
3172,Silver,Hazelnut Brown Nectar,Rogue Ales,Portland,OR,Specialty Beer,2008
3173,Bronze,Palo Santo Marron,Dogfish Head Craft Brewery,Milton,DE,Specialty Beer,2008
3174,Gold,Honey Lager,Capitol City Brewing Co. - Capitol Hill,Washington,DC,Specialty Honey Beer,2008
3175,Silver,Eye of the Storm,Minneapolis Town Hall Brewery,Minneapolis,MN,Specialty Honey Beer,2008
3176,Bronze,Honey Moon Summer Ale,Blue Moon Brewing Co.,Golden,CO,Specialty Honey Beer,2008
3177,Gold,AleSmith Wee Heavy,AleSmith Brewing Co.,San Diego,CA,Strong Scotch Ale,2008
3178,Silver,Way Heavy,Pizza Port - San Clemente,Carlsbad,CA,Strong Scotch Ale,2008
3179,Bronze,Bag Pipe's Scotch Ale,Allentown & Bethlehem Brew Works,Allentown,PA,Strong Scotch Ale,2008
3180,Gold,Cream Stout,Redwood Brewing Co.,Flint,MI,Sweet Stout,2008
3181,Silver,Milk Stout,Left Hand Brewing Co.,Longmont,CO,Sweet Stout,2008
3182,Bronze,Cow Stout,Pizza Port - Carlsbad,Carlsbad,CA,Sweet Stout,2008
3183,Gold,Vienna Red Lager,Iron Hill Brewery & Restaurant - West Chester,Wilmington,DE,Vienna-Style Lager,2008
3184,Silver,Oaktoberfest,Firestone Walker Brewing Co.,Paso Robles,CA,Vienna-Style Lager,2008
3185,Bronze,Clipper City MarzHon,Clipper City Brewing Co.,Baltimore,MD,Vienna-Style Lager,2008
3186,Gold,Old Jack,Ram Restaurant & Brewery (Indianapolis),Indianapolis,IN,Wood- and Barrel-Aged Beer,2008
3187,Silver,Buffalo Bock,Ram Restaurant & Brewery (Indianapolis),Indianapolis,IN,Wood- and Barrel-Aged Beer,2008
3188,Bronze,Beastie Barrel Stout,Barley Island Brewing Co.,Fishers,IN,Wood- and Barrel-Aged Beer,2008
3189,Gold,Beekeeper,Bullfrog Brewery,Williamsport,PA,Wood- and Barrel-Aged Sour Beer,2008
3190,Silver,Cherry Dubbel,Iron Hill Brewery & Restaurant - Newark,Wilmington,DE,Wood- and Barrel-Aged Sour Beer,2008
3191,Bronze,Cascade Kriek Ale,Cascade Brewery Co. LLC,Portland,OR,Wood- and Barrel-Aged Sour Beer,2008
3192,Gold,Bourbon Barrel Barleywine,Central Waters Brewing Co.,Amherst,WI,Wood- and Barrel-Aged Strong Beer,2008
3193,Silver,The Legend of the Liquid Brain Imperial Stout,Bull & Bush Brewery,Denver,CO,Wood- and Barrel-Aged Strong Beer,2008
3194,Bronze,Golden Delicious,Captain Lawrence Brewing Co.,Pleasantville,NY,Wood- and Barrel-Aged Strong Beer,2008
3195,Gold,Broad Street Barleywine,Rock Bottom Brewery - King of Prussia,King of Prussia,PA,Aged Beer (Ale or Lager),2007
3196,Silver,2003 Pilgrim's Dole,New Holland Brewing Co.,Holland,MI,Aged Beer (Ale or Lager),2007
3197,Bronze,Alaskan Smoked Porter 2004,Alaskan Brewing Co.,Juneau,AK,Aged Beer (Ale or Lager),2007
3198,Gold,Steam Engine Lager,Steamworks Brewing Co.,Durango/Bayfield,CO,American-Style Amber Lager,2007
3199,Silver,Toasted Lager,Blue Point Brewing Co.,Patchogue,NY,American-Style Amber Lager,2007
3200,Bronze,Old Scratch Amber Lager,Flying Dog Brewery,Denver,CO,American-Style Amber Lager,2007
3201,Gold,Stone Levitation Ale,Stone Brewing Co.,Escondido,CA,American-Style Amber/Red Ale,2007
3202,Silver,Hop Head Red,Green Flash Brewing Co.,Vista,CA,American-Style Amber/Red Ale,2007
3203,Bronze,McCarthy Red,Emmett's Tavern & Brewing Co.,West Dundee,IL,American-Style Amber/Red Ale,2007
3204,Gold,Doryman's Dark Ale,Pelican Pub & Brewery,Pacific City,OR,American-Style Brown Ale,2007
