,Medal,Beer Name,Brewery,City,State,Category,Year
207,Gold,Mai Tai P.A.,Alvarado Street Brewery & Grill,Monterey,CA,International-Style Pale Ale,2018
208,Silver,Guayabera,Cigar City Brewing,Tampa,FL,International-Style Pale Ale,2018
209,Bronze,The Penske File,Faction Brewing Co.,Alameda,CA,International-Style Pale Ale,2018
210,Gold,Wooden Teeth,Turtle Mountain Brewing Co.,Rio Rancho,NM,International-Style Pilsener,2018
211,Silver,Nano - OG Lager,Market Garden Brewery,Cleveland,OH,International-Style Pilsener,2018
212,Bronze,Cerveza Delray,Brew Detroit,Detroit,MI,International-Style Pilsener,2018
213,Gold,Scarlet > Fire,Tighthead Brewing Co.,Mundelein,IL,Irish-Style Red Ale,2018
214,Silver,TAPS Irish Red,TAPS Fish House and Brewery - Corona,Corona,CA,Irish-Style Red Ale,2018
215,Bronze,DEFCON Red,Comrade Brewing Co.,Denver,CO,Irish-Style Red Ale,2018
216,Gold,New England Style Double IPA,Black Market Brewing Co.,Temecula,CA,Juicy or Hazy Imperial or Double India Pale Ale,2018
217,Silver,Color of Life,Corridor Brewery & Provisions,Chicago,IL,Juicy or Hazy Imperial or Double India Pale Ale,2018
218,Bronze,Contains No Juice,Alvarado Street Brewery,Salinas,CA,Juicy or Hazy Imperial or Double India Pale Ale,2018
219,Gold,Le Jus,Alarmist Brewing,Chicago,IL,Juicy or Hazy India Pale Ale,2018
220,Silver,Fairy Nectar London Double Dry Hopped,Kros Strain Brewing Co.,La Vista,NE,Juicy or Hazy India Pale Ale,2018
221,Bronze,Foiken Haze,Eris Brewery and Cider House,Chicago,IL,Juicy or Hazy India Pale Ale,2018
222,Gold,Voodoo,Tin Roof Brewing Co.,Baton Rouge,LA,Juicy or Hazy Pale Ale,2018
223,Silver,Sippin on Dank 2.0,Kings Brewing Co.,Rancho Cucamonga,CA,Juicy or Hazy Pale Ale,2018
224,Bronze,Madame Psychosis,Fiction Beer Co.,Denver,CO,Juicy or Hazy Pale Ale,2018
225,Gold,Keller Pils,Summit Brewing Co.,St. Paul,MN,Kellerbier or Zwickelbier,2018
226,Silver,STS Pils,Russian River Brewing Co. - Production,Santa Rosa,CA,Kellerbier or Zwickelbier,2018
227,Bronze,NashZwickel,Nashville Brewing Co.,Nashville,TN,Kellerbier or Zwickelbier,2018
228,Gold,Altitude Banquet,Altitude Chophouse and Brewery,Laramie,WY,Light Lager,2018
229,Silver,Awesome Beer Rice Lager,State Room Brewery,San Rafael,CA,Light Lager,2018
230,Bronze,Super Awesome Lager,Austin Beerworks,Austin,TX,Light Lager,2018
231,Gold,Druif,pFriem Family Brewers,Hood River,OR,Mixed-Culture Brett Beer,2018
232,Silver,Citra Dry Hopped Funk Yo Couch,Wiley Roots Brewing Co.,Greeley,CO,Mixed-Culture Brett Beer,2018
233,Bronze,Coming to Fruition: Cherry,Oregon City Brewing Co.,Oregon City,OR,Mixed-Culture Brett Beer,2018
234,Gold,Chuckanut Dunkel,Chuckanut - South Nut,Burlington,WA,Munich-Style Dunkel or European-Style Dark Lager,2018
235,Silver,Duck River Dunkel,Goat Island Brewing,Cullman,AL,Munich-Style Dunkel or European-Style Dark Lager,2018
236,Bronze,Babee Bock,Brew Kettle - Production Works,Strongsville,OH,Munich-Style Dunkel or European-Style Dark Lager,2018
237,Gold,Hell Yes,The Austin Beer Garden Brewing Co.,Austin,TX,Munich-Style Helles,2018
238,Silver,Chuckanut Helles,Chuckanut Brewery - North Nut,Bellingham,WA,Munich-Style Helles,2018
239,Bronze,House Lager,Jack's Abby Brewing,Framingham,MA,Munich-Style Helles,2018
240,Gold,Shoshone Stout,Glenwood Canyon Brewing Co.,Glenwood Springs,CO,Oatmeal Stout,2018
241,Silver,Oats,Pizza Port Solana Beach,Solana Beach,CA,Oatmeal Stout,2018
242,Bronze,Wall of Sound,Stereo Brewing Co.,Placentia,CA,Oatmeal Stout,2018
243,Gold,Drunkard's Cloak,Banded Oak Brewing Co.,Denver,CO,Old Ale or Strong Ale,2018
244,Silver,Old Scrooge,Silver City Brewery,Bremerton,WA,Old Ale or Strong Ale,2018
245,Bronze,Rail Gun Wee Heavy,BNS Brewing & Distilling Co.,Santee,CA,Old Ale or Strong Ale,2018
246,Gold,Sawtooth Ale,Left Hand Brewing Co.,Longmont,CO,Ordinary or Special Bitter,2018
247,Silver,Copperline Amber Ale,Carolina Brewery - Chapel Hill,Pittsboro,NC,Ordinary or Special Bitter,2018
248,Bronze,Saint Arnold Amber Ale,Saint Arnold Brewing Co.,Houston,TX,Ordinary or Special Bitter,2018
249,Gold,Pour le Mineur,Corridor Brewery & Provisions,Chicago,IL,Other Belgian-Style Ale,2018
250,Silver,Call of the Void,Original Pattern Brewing Co.,Oakland,CA,Other Belgian-Style Ale,2018
251,Bronze,Red Devil,Printer's Ale Manufacturing Co.,Carrollton,GA,Other Belgian-Style Ale,2018
252,Gold,Golden Prairie Doppel Alt,Argus Brewery,Chicago,IL,Other Strong Beer,2018
253,Silver,False Hope,Spilled Grain Brewhouse,Annandale,MN,Other Strong Beer,2018
254,Bronze,Lampshade Porter,Starr Brothers Brewing Co.,Albuquerque,NM,Other Strong Beer,2018
255,Gold,Gordgeous,NoDa Brewing Co. - NE,Charlotte,NC,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
256,Silver,Whole Hog Pumpkin Ale,Stevens Point Brewery,Stevens Point,WI,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
257,Bronze,5 Phantoms Pumpkin Spice Barleywine,Philipsburg Brewing Co. - The Vault,Philipsburg,MT,Pumpkin/Squash Beer or Pumpkin Spice Beer,2018
258,Gold,Lomporter,Lompoc Brewing - The 5th Quadrant,Portland,OR,Robust Porter,2018
259,Silver,Porter,Founders Brewing Co.,Grand Rapids,MI,Robust Porter,2018
260,Bronze,Ghost Rider Porter,Big Ugly Brewing Co.,Chesapeake,VA,Robust Porter,2018
261,Gold,Rye Dawn,Breakwater Brewing Co.,Oceanside,CA,Rye Beer,2018
262,Silver,Unite the Clans,Third Space Brewing,Milwaukee,WI,Rye Beer,2018
